row,OBJECTID,ZJ,CM,HZSMC,CYFL,ZZPZ,PZSL,SLDW,CL,NDCZ_MIN,NDCZ_MAX,YSYQK_MIN,YSYQK_MAX
1,1,宁海街道,石硼村,烟台市牟平区珠鸿祥兴农业专业合作社,苹果,红富士苹果,300.00,亩,975000.00,682.50,682.50,637.50,637.50
2,2,姜格庄街道,东杭格庄村,烟台市德腾农产品专业合作社,苹果,矮化苹果,70.00,亩,227500.00,159.30,159.30,148.80,148.80
3,3,姜格庄街道,沙家疃村,烟台市牟平区鸿源农产品专业合作社,苹果,矮化苹果,20.00,亩,65000.00,45.50,45.50,42.50,42.50
4,4,姜格庄街道,松岚后村,烟台鸿盛园农业科技专业合作社,苹果,矮化果树种植,180.00,亩,585000.00,409.50,409.50,382.50,382.50
5,5,武宁街道,仇家疃村,烟台超友果蔬专业合作社,苹果,苹果,547.23,亩,1778497.50,1244.90,1244.90,1162.90,1162.90
6,6,龙泉镇,马家都村,苗都山水专业合作社,苹果,维纳斯黄金苹果,40.00,亩,130000.00,91.00,91.00,85.00,85.00
7,7,龙泉镇,小苇子村,烟台市山农果业专业合作社,苹果,乔华苹果,50.00,亩,162500.00,113.80,113.80,106.30,106.30
8,8,龙泉镇,西台村,烟台市牟平区王文明专业合作社,苹果,矮化苹果,30.00,亩,97500.00,68.30,68.30,63.80,63.80
9,9,龙泉镇,神童村,庭院金农业专业合作社,苹果,苹果,15.00,亩,48750.00,34.10,34.10,31.90,31.90
10,10,莒格庄镇,北宋家口村,烟台市牟平区山里果香农产品专业合作社,苹果,维纳斯黄金果,17.00,亩,55250.00,38.70,38.70,36.10,36.10
11,11,莒格庄镇,北宋家口村,烟台市牟平区山里果香农产品专业合作社,苹果,原富红苹果,50.00,亩,162500.00,113.80,113.80,106.30,106.30
12,12,莒格庄镇,北宋家口村,烟台市牟平区山里果香农产品专业合作社,苹果,新201苹果,20.00,亩,65000.00,45.50,45.50,42.50,42.50
13,13,莒格庄镇,曲河庄村,烟台市牟平区瑞祺农产品专业合作社,苹果,富硒苹果,20.00,亩,65000.00,45.50,45.50,42.50,42.50
14,14,水道镇,西直格庄村,烟台市华林果蔬专业合作社,苹果,美乐苹果,50.00,亩,162500.00,113.80,113.80,106.30,106.30
15,15,王格庄镇,彭家庄村,烟台市王根儿红果蔬农民专业合作社,苹果,苹果,10.00,亩,32500.00,22.80,22.80,21.30,21.30
16,16,王格庄镇,前柳林夼村,烟台市惠林果品专业合作社,苹果,苹果,10.00,亩,32500.00,22.80,22.80,21.30,21.30
17,17,王格庄镇,磨山庄村,烟台市牟平区义云农产品专业合作社,苹果,苹果,100.00,亩,325000.00,227.50,227.50,212.50,212.50
18,18,观水镇,虎龙头村,烟台市来福果品专业合作社,苹果,苹果,30.00,亩,97500.00,68.30,68.30,63.80,63.80
19,19,观水镇,郝格庄村,烟台市牟平区大华果品专业合作社,苹果,苹果,230.00,亩,747500.00,523.30,523.30,488.80,488.80
20,20,观水镇,八甲村,烟台市观水镇八甲苹果专业合作社,苹果,苹果,8.00,亩,26000.00,18.20,18.20,17.00,17.00
21,21,观水镇,上寺口村,烟台市牟平区上寺口村石屋山果品种植专业合作社,苹果,苹果,27.00,亩,87750.00,61.40,61.40,57.40,57.40
22,22,武宁街道,南岭前庄村,烟台瑞祥果蔬农民专业合作社,地瓜,地瓜,70.00,亩,105000.00,52.50,52.50,35.70,35.70
23,23,武宁街道,北堠子夼村,烟台市土生金农产品农民专业合作社,地瓜,地瓜,50.00,亩,75000.00,37.50,37.50,25.50,25.50
24,24,玉林店镇,共和庄村,烟台增华农业专业合作社,地瓜,烟薯25号,300.00,亩,450000.00,225.00,225.00,153.00,153.00
25,25,玉林店镇,尺坎村,烟台市牟平区瑞驰农业专业合作社,地瓜,烟薯25地瓜,65.00,亩,97500.00,48.75,48.75,33.15,33.15
26,26,莒格庄镇,西莒格庄村,烟台市吉丰农产品专业合作社,地瓜,烟薯25地瓜,17.00,亩,25500.00,12.75,12.75,8.67,8.67
27,27,莒格庄镇,杨家夼村,烟台同心农农产品专业合作社,地瓜,烟薯25地瓜,10.00,亩,15000.00,7.50,7.50,5.10,5.10
28,28,莒格庄镇,曲河庄村,烟台市牟平区瑞祺农产品专业合作社,地瓜,烟薯25,180.00,亩,270000.00,135.00,135.00,91.80,91.80
29,29,水道镇,西直格庄村,烟台市华林果蔬专业合作社,地瓜,烟薯25地瓜,80.00,亩,120000.00,60.00,60.00,40.80,40.80
30,30,水道镇,大疃村,烟台市丰产农产品专业合作社,地瓜,烟薯25地瓜,20.00,亩,30000.00,15.00,15.00,10.20,10.20
31,31,水道镇,通海村,烟台市协力农产品专业合作社,地瓜,烟薯25地瓜,50.00,亩,75000.00,37.50,37.50,25.50,25.50
32,32,水道镇,山前村,烟台市牟平区南小洼农产品合作社,地瓜,济薯26地瓜,70.00,亩,105000.00,52.50,52.50,35.70,35.70
33,33,观水镇,郁都村,烟台果薯丰农产品专业合作社,地瓜,烟薯25地瓜,3.00,亩,4500.00,2.25,2.25,1.53,1.53
34,34,观水镇,后垂柳村,烟台市柳香园果品专业合作社,地瓜,烟薯25地瓜,7.00,亩,10500.00,5.25,5.25,3.57,3.57
35,35,高陵镇,阎庄村,烟台市同裕农产品专业合作社,地瓜,烟薯25地瓜,50.00,亩,75000.00,37.50,37.50,25.50,25.50
36,36,高陵镇,磨山村,烟台兴慧民农产品专业合作社,地瓜,烟薯25地瓜,50.00,亩,75000.00,37.50,37.50,25.50,25.50
37,37,高陵镇,双山屯村,烟台市得来农业专业合作社,地瓜,红薯,110.00,亩,165000.00,82.50,82.50,56.10,56.10
38,38,玉林店镇,尺坎村,烟台市牟平区瑞驰农业专业合作社,花生,花生,10.00,亩,2500.00,1.30,1.30,0.30,0.30
39,39,莒格庄镇,西莒格庄村,烟台市吉丰农产品专业合作社,花生,高油酸花生,7.00,亩,1750.00,0.90,0.90,0.20,0.20
40,40,莒格庄镇,杨家夼村,烟台同心农农产品专业合作社,花生,高油酸花生,20.00,亩,5000.00,2.50,2.50,0.50,0.50
41,41,水道镇,西直格庄村,烟台市华林果蔬专业合作社,花生,花育953花生,20.00,亩,5000.00,2.50,2.50,0.50,0.50
42,42,水道镇,大疃村,烟台市丰产农产品专业合作社,花生,青花7花生,30.00,亩,7500.00,3.80,3.80,0.80,0.80
43,43,水道镇,通海村,烟台市协力农产品专业合作社,花生,花育955花生,57.00,亩,14250.00,7.10,7.10,1.40,1.40
44,44,水道镇,牟家沟村,烟台市牟平区大川农产品专业合作社,花生,高油酸花生,15.00,亩,3750.00,1.90,1.90,0.40,0.40
45,45,水道镇,鲁魏庄村,烟台观艺农产品专业合作社,花生,花17花生,10.00,亩,2500.00,1.30,1.30,0.30,0.30
46,46,水道镇,东石桥村,烟台利伟农业专业合作社,花生,花17花生,10.00,亩,2500.00,1.30,1.30,0.30,0.30
47,47,水道镇,前院夼村,烟台市志发农业专业合作社,花生,花17花生,10.00,亩,2500.00,1.30,1.30,0.30,0.30
48,48,水道镇,后院夼村,烟台市庆发农业专业合作社,花生,花17花生,10.00,亩,2500.00,1.30,1.30,0.30,0.30
49,49,水道镇,邱家村,烟台市聚鑫农产品专业合作社,花生,花17花生,15.00,亩,3750.00,1.90,1.90,0.40,0.40
50,50,水道镇,半埠店村,烟台市裕垚农业专业合作社,花生,花17花生,63.00,亩,15750.00,7.90,7.90,1.60,1.60
51,51,水道镇,西邓格庄村,烟台市牟平区雨顺专业合作社,花生,花17花生,17.00,亩,4250.00,2.10,2.10,0.40,0.40
52,52,水道镇,山前村,烟台市牟平区南小洼农产品合作社,花生,花17花生,30.00,亩,7500.00,3.80,3.80,0.80,0.80
53,53,大窑街道,韩家疃村,烟台广纳果蔬种植专业合作社,樱桃,樱桃,3.50,亩,5250.00,6.30,6.30,5.25,5.25
54,54,大窑街道,北杏林堡村,烟台君越果蔬专业合作社,樱桃,樱桃,10.00,亩,15000.00,18.00,18.00,15.00,15.00
55,55,大窑街道,新福村,烟台雨田果蔬专业合作社,樱桃,大棚樱桃,3.00,亩,4500.00,5.40,5.40,4.50,4.50
56,56,姜格庄街道,沙家疃村,烟台市牟平区鸿源农产品专业合作社,樱桃,樱桃,200.00,亩,300000.00,360.00,360.00,300.00,300.00
57,57,龙泉镇,小苇子村,烟台市山农果业专业合作社,樱桃,樱桃,10.00,亩,15000.00,18.00,18.00,15.00,15.00
58,58,龙泉镇,西台村,烟台市牟平区王文明专业合作社,樱桃,樱桃,40.00,亩,60000.00,72.00,72.00,60.00,60.00
